place_name,rank,sentiment_health_score,positive_pct,negative_pct,avg_rating,total_reviews
KinderCare Child Specialist Clinic / Klinik Pakar Kanak-kanak,1,97.3,95.45,0.0,4.99,110.0
Mcare Clinic Cyberjaya (Mcare 诊所 ),2,94.8,91.3,0.0,5.0,46.0
Poliklinik Cahaya Medik,3,94.1,91.02,1.17,4.98,256.0
SV Care Ambulance,4,93.9,89.83,0.0,4.95,59.0
Avisena Specialist Clinic Cyberjaya,5,93.3,88.89,0.0,5.0,18.0
Klinik Dr Ezra Cyberjaya,6,93.3,88.89,0.0,4.96,27.0
Klinik Dr Ko Cyberjaya,7,93.1,91.4,4.3,4.6,93.0
Klinik DRS Young Newton & Rakan-Rakan,8,92.7,88.73,1.41,4.94,71.0
Klinik Pergigian The Tamarin Dental Co. Cyberjaya,9,91.9,89.02,3.66,4.76,164.0
Qualitas SV Care Clinic Cyberjaya 24 Hours,10,90.5,88.22,6.05,4.57,925.0
Klinik Aviesina Mediora 24 Jam Cyberjaya | Antenatal Scan | Weight Management| Doktor Wanita,11,90.1,84.07,0.82,4.93,364.0
Aidason Clinic (formerly known as Alexa Clinic),12,88.8,81.4,0.0,4.97,86.0
Orion Clinic,13,88.6,83.98,4.42,4.81,181.0
KLINIK CYBERJAYA (Tamarind Square),14,87.7,84.29,7.14,4.47,70.0
KLINIK DR. LEEYA CYBERJAYA,15,87.0,80.0,2.5,4.78,40.0
KLINIK KHALIFAH CYBERJAYA,16,85.8,78.85,3.85,4.83,52.0
"Klinik Utama 24 Jam Cyberjaya (Nadayu,Tamarind Square)",17,84.3,75.42,2.34,4.8,899.0
CARECLINICS CYBERJAYA,18,83.8,77.49,6.81,4.49,191.0
Klinik Familink,19,83.2,79.79,11.7,4.15,94.0
Marissa Mediclinic Cyberjaya,20,83.0,72.34,1.06,4.91,94.0
Klinik Utama Cyberjaya (24 Hour),21,79.8,71.06,6.98,4.67,387.0
Klinik Alam Medic - Cyberjaya,22,79.7,76.0,14.67,4.44,75.0
RR Clinic,23,75.2,58.62,0.0,5.0,29.0
Iswanah Acupuncture Bangi,24,65.2,45.19,4.7,4.82,447.0
Klinik Ibnu Sina,25,59.5,52.89,30.58,2.73,121.0
